"ts_code","name"
"017698.OF","华夏新材料龙头C"
"017697.OF","华夏新材料龙头A"
"016007.OF","招商中证消费电子主题联接A"
"017911.OF","华泰柏瑞新经济沪港深C"
"016252.OF","华夏景气成长一年持有A"
"016008.OF","招商中证消费电子主题联接C"
"016747.OF","浦银安盛光耀优选C"
"016746.OF","浦银安盛光耀优选A"
"017068.OF","申万菱信中证1000指数增强C"
"017067.OF","申万菱信中证1000指数增强A"
"017757.OF","银河新动能C"
"159678.SZ","中证500增强ETF"
"017760.OF","银河大国智造主题C"
"017762.OF","银河转型增长C"
"017880.OF","国寿安保薪金宝B"
"017870.OF","光大保德信消费主题C"
"017730.OF","嘉实全球产业升级A"
"017758.OF","银河智慧主题C"
"017905.OF","国泰君安善吾养老目标日期2045五年持有Y"
"017325.OF","农银汇理鑫享稳健养老目标一年持有"
"017759.OF","银河研究精选C"
"159679.SZ","中证1000增强ETF"
"017906.OF","国泰君安善元稳健养老目标一年持有Y"
"017761.OF","银河智联主题C"
"017731.OF","嘉实全球产业升级C"
"017173.OF","创金合信季安盈3个月持有C"
"017883.OF","博时富添纯债C"
"017172.OF","创金合信季安盈3个月持有A"
"017617.OF","华泰柏瑞招享6个月持有A"
"016716.OF","建信渤泰C"
"016715.OF","建信渤泰A"
"017873.OF","汇添富香港优势精选C"
"015989.OF","华安碳中和主题A"
"017618.OF","华泰柏瑞招享6个月持有C"
"015990.OF","华安碳中和主题C"
"017812.OF","华安鼎盈一年定开"
"016958.OF","招商安颐稳健1年封闭C"
"016846.OF","中欧预见养老目标2045三年持有"
"016957.OF","招商安颐稳健1年封闭A"
"017789.OF","建信睿享纯债C"
"017592.OF","汇添富添添乐双盈A"
"016819.OF","鹏华睿进一年持有C"
"016546.OF","交银稳进回报六个月持有C"
"017593.OF","汇添富添添乐双盈C"
"016545.OF","交银稳进回报六个月持有A"
"016818.OF","鹏华睿进一年持有A"
"513560.SH","香港科技ETF"
"016833.OF","东方红锦惠甄选18个月持有C"
"017821.OF","招商优势企业C"
"013406.OF","中航瑞旭3个月定开C"
"016832.OF","东方红锦惠甄选18个月持有A"
"013405.OF","中航瑞旭3个月定开A"
"016378.OF","太平消费升级一年持有A"
"017767.OF","嘉实欣荣C"
"017635.OF","银华动力领航A"
"017636.OF","银华动力领航C"
"016379.OF","太平消费升级一年持有C"
"017630.OF","富国周期精选三年持有A"
"012784.OF","鹏华养老2040五年持有"
"017648.OF","信澳聚优智选A"
"017245.OF","南方前瞻动力C"
"017244.OF","南方前瞻动力A"
"017631.OF","富国周期精选三年持有C"
"017200.OF","广发ESG责任投资C"
"017199.OF","广发ESG责任投资A"
"017649.OF","信澳聚优智选C"
"016031.OF","民生加银瑞华绿债一年定开"
"016507.OF","长城数字经济A"
"016508.OF","长城数字经济C"
"017766.OF","华夏兴和C"
"014403.OF","中欧预见平衡养老三年持有"
"017097.OF","广发稳润一年持有C"
"017096.OF","广发稳润一年持有A"
"017149.OF","天弘稳健回报A"
"016630.OF","易方达中证1000联接A"
