ts_code,name
003975.OF,中信建投睿泰C
004333.OF,金鹰元盛E
004169.OF,万家现金增利A
004170.OF,万家现金增利B
003923.OF,长盛盛康纯债C
003922.OF,长盛盛康纯债A
004021.OF,广发汇富一年A
004022.OF,广发汇富一年C
004103.OF,信诚稳悦C
004191.OF,招商沪深300指数增强C
004190.OF,招商沪深300指数增强A
004102.OF,信诚稳悦A
004279.OF,国寿安保稳荣A
004280.OF,国寿安保稳荣C
004259.OF,国寿安保稳嘉C
004258.OF,国寿安保稳嘉A
004322.OF,创金合信尊隆纯债A
004251.OF,华夏惠利B
004056.OF,华夏惠利A
003747.OF,万家鑫享纯债A
003554.OF,泰达宏利同顺大数据C
003548.OF,泰达宏利沪深300指数增强C
003188.OF,博时聚源纯债A
003550.OF,泰达宏利改革动力C
003784.OF,招商稳泰定期开放
003748.OF,万家鑫享纯债C
519175.OF,浦银安盛经济带崛起A
003567.OF,华夏行业景气
675123.OF,西部利得汇逸C
675121.OF,西部利得汇逸A
003954.OF,华泰柏瑞价值精选30
002910.OF,易方达供给改革
004091.OF,博时沪港深价值优选A
003598.OF,华商润丰A
004092.OF,博时沪港深价值优选C
003857.OF,前海开源周期优选A
003858.OF,前海开源周期优选C
003956.OF,南方产业智选
004199.OF,华富天益B
003828.OF,鹏华兴惠
004198.OF,华富天益A
001364.OF,大成景润A
512580.SH,碳中和龙头ETF
004133.OF,中航航行宝A
003980.OF,中银证券瑞益A
004206.OF,华商元亨
003981.OF,中银证券瑞益C
004214.OF,方正富邦鑫利宝A
004215.OF,方正富邦鑫利宝B
003702.OF,平安沪港深高股息
003778.OF,上投摩根安瑞回报A
003779.OF,上投摩根安瑞回报C
003973.OF,国富美元债美元现汇
003639.OF,工银瑞信瑞盈半年
003936.OF,南方和利定期开放A
003937.OF,南方和利定期开放C
004159.OF,中欧天启18个月A
001668.OF,汇添富全球移动互联A
003884.OF,汇安沪深300指数增强A
004160.OF,中欧天启18个月C
001782.OF,九泰久益A
501032.SH,财通福盛混合LOF
004171.OF,中信保诚永益一年定开A
003972.OF,国富美元债人民币
004172.OF,中信保诚永益一年定开C
003991.OF,富国富利稳健配置A
003992.OF,富国富利稳健配置C
001844.OF,九泰久益C
003315.OF,景顺长城政策性金融债A
003885.OF,汇安沪深300指数增强C
164302.SZ,新华惠鑫
004000.OF,泰达宏利睿选稳健
004112.OF,创金合信国企活力
003386.OF,工银全球美元债A美元现汇
003385.OF,工银全球美元债A人民币
003387.OF,工银全球美元债C
673090.OF,西部利得个股精选A
004126.OF,浦银安盛稳健增利A
002944.OF,信诚主题轮动
004107.OF,中信保诚稳丰C
004106.OF,中信保诚稳丰A
161233.SZ,国投瑞泰LOF
003959.OF,平安量化A
003960.OF,平安量化C
004076.OF,国联安锐意成长
004289.OF,博时新财富C
511230.SH,周期债
003794.OF,泰达宏利溢利C
003793.OF,泰达宏利溢利A
004001.OF,泰达宏利恒利A
004002.OF,泰达宏利恒利C
003965.OF,华夏新锦略C
003964.OF,华夏新锦略A
003813.OF,泰康金泰回报3个月
004053.OF,华夏鼎智C
004052.OF,华夏鼎智A
004073.OF,金元顺安金通宝B
004072.OF,金元顺安金通宝A
001839.OF,九泰久兴
004168.OF,博时富嘉纯债
004242.OF,兴业稳康三年
004267.OF,金鹰持久增利E
004226.OF,国寿安保稳诚C
003212.OF,广发集安C
003211.OF,广发集安A
004248.OF,华宝新动力
519746.OF,交银丰享收益A
002925.OF,广发集源A
002926.OF,广发集源C
004225.OF,国寿安保稳诚A
004235.OF,中欧价值智选回报C
004236.OF,中欧新动力C
004241.OF,中欧时代先锋C
004234.OF,中欧数据挖掘多因子C
003504.OF,景顺长城景颐丰利A
003505.OF,景顺长城景颐丰利C
501029.SH,红利基金LOF
003826.OF,华夏鼎汇A
003827.OF,华夏鼎汇C
004079.OF,万家鑫丰纯债A
004080.OF,万家鑫丰纯债C
004144.OF,上投摩根安丰回报A
004145.OF,上投摩根安丰回报C
003704.OF,光大事件驱动
004246.OF,德邦锐乾A
004247.OF,德邦锐乾C
003359.OF,大成互联网+大数据C
004181.OF,南方宏元定开C
004146.OF,上投摩根安泽回报A
004147.OF,上投摩根安泽回报C
004180.OF,南方宏元定开
003312.OF,大摩睿成中小盘弹性
004009.OF,中融鑫思路C
004008.OF,中融鑫思路A
002743.OF,泓德裕祥C
002742.OF,泓德裕祥A
003132.OF,德邦新回报
002936.OF,华夏沃利A
002937.OF,华夏沃利B
004136.OF,博时民泽纯债
004210.OF,前海开源货币E
003638.OF,安信永鑫增强C
004137.OF,博时合惠B
003408.OF,景顺长城景泰丰利C
004114.OF,华泰柏瑞泰利C
003637.OF,安信永鑫增强A
004113.OF,华泰柏瑞泰利A
004014.OF,华泰柏瑞锦利A
004015.OF,华泰柏瑞锦利C
004012.OF,华泰柏瑞裕利A
004013.OF,华泰柏瑞裕利C
003596.OF,长盛盛腾A
003597.OF,长盛盛腾C
003407.OF,景顺长城景泰丰利A
003040.OF,广发集富纯债C
003039.OF,广发集富纯债A
003889.OF,汇安丰泽A
003890.OF,汇安丰泽C
004237.OF,中欧新蓝筹C
004233.OF,中欧盛世成长C
004232.OF,中欧价值发现C
004231.OF,中欧行业成长C
003107.OF,光大安祺A
003108.OF,光大安祺C
003883.OF,易方达瑞弘C
003882.OF,易方达瑞弘A
003384.OF,金鹰添盈纯债A
002967.OF,浙商大数据智选消费A
003738.OF,新华华瑞
004150.OF,博时鑫惠C
004149.OF,博时鑫惠A
003854.OF,汇安丰华A
003855.OF,汇安丰华C
003802.OF,华安新安平C
004094.OF,招商丰诚A
004095.OF,招商丰诚C
003801.OF,华安新安平A
003699.OF,华夏新锦祥C
003698.OF,华夏新锦祥A
003986.OF,申万菱信中证500优选增强A
004220.OF,长信纯债壹号C
004221.OF,长信量化先锋C
163008.OF,长信利鑫A
003584.OF,建信稳定鑫利C
003583.OF,建信稳定鑫利A
004216.OF,兴业安润A
004217.OF,兴业安润B
164822.OF,工银瑞信政府债C
003865.OF,创金合信量化多因子C
003743.OF,广发汇平一年A
003744.OF,广发汇平一年C
002983.OF,长信国防军工A
003110.OF,光大安和C
003109.OF,光大安和A
513050.SH,中概互联网ETF
003645.OF,融通通弘
004086.OF,工银国债(7-10年)指数C
004085.OF,工银国债(7-10年)指数A
003715.OF,宝盈消费主题
003293.OF,易方达科瑞
003640.OF,兴业裕丰
168401.SZ,红土创新精选LOF
519729.OF,交银增强收益
004121.OF,兴银现金添利A
002943.OF,广发多因子
002000.OF,工银新生利
001722.OF,工银银和利
001721.OF,工银新增益
003298.OF,嘉实物流产业A
003299.OF,嘉实物流产业C
003662.OF,鹏华永盛一年定开
003659.OF,山西证券策略精选
003152.OF,华富天鑫A
003153.OF,华富天鑫C
003591.OF,华泰柏瑞享利A
001720.OF,工银新增利
519630.OF,银河睿利C
003592.OF,华泰柏瑞享利C
519629.OF,银河睿利A
003581.OF,前海联合国民健康A
511650.SH,华夏快线ETF
004176.OF,博时鑫泰C
003804.OF,华安新丰利C
003803.OF,华安新丰利A
004153.OF,信诚新悦回报A
003300.OF,华夏圆和A
004154.OF,信诚新悦回报B
160923.OF,大成海外中国机会
004175.OF,博时鑫泰A
004030.OF,嘉实丰安6个月定开
003541.OF,国联安睿智定期开放
501012.SH,中药基金LOFC
003580.OF,泰康沪港深价值优选
501031.SH,环境治理LOFC
501011.SH,中药基金LOF
501030.SH,环境治理LOF
003899.OF,国泰民惠收益
004037.OF,鹏华弘樽C
004036.OF,鹏华弘樽A
003843.OF,中邮景泰C
003907.OF,华夏新锦图C
003842.OF,中邮景泰A
003906.OF,华夏新锦图A
004065.OF,中融量化多因子A
