"ts_code","symbol","name","area","industry","market","list_date"
"002884.SZ","002884","凌霄泵业","广东","机械基件","中小板","20170711"
"002885.SZ","002885","京泉华","深圳","元器件","中小板","20170627"
"002886.SZ","002886","沃特股份","深圳","塑料","中小板","20170627"
"002887.SZ","002887","绿茵生态","天津","环境保护","中小板","20170801"
"002888.SZ","002888","惠威科技","广东","元器件","中小板","20170721"
"002889.SZ","002889","东方嘉盛","深圳","仓储物流","中小板","20170731"
"002890.SZ","002890","弘宇股份","山东","农用机械","中小板","20170802"
"002891.SZ","002891","中宠股份","山东","饲料","中小板","20170821"
"002892.SZ","002892","科力尔","湖南","电气设备","中小板","20170817"
"002893.SZ","002893","京能热力","北京","供气供热","中小板","20170915"
"002895.SZ","002895","川恒股份","贵州","化工原料","中小板","20170825"
"002896.SZ","002896","中大力德","浙江","机械基件","中小板","20170829"
"002897.SZ","002897","意华股份","浙江","元器件","中小板","20170907"
"002898.SZ","002898","赛隆药业","广东","化学制药","中小板","20170912"
"002899.SZ","002899","英派斯","山东","文教休闲","中小板","20170915"
"002900.SZ","002900","哈三联","黑龙江","化学制药","中小板","20170922"
"002901.SZ","002901","大博医疗","福建","医疗保健","中小板","20170922"
"002902.SZ","002902","铭普光磁","广东","元器件","中小板","20170929"
"002903.SZ","002903","宇环数控","湖南","机床制造","中小板","20171013"
"002905.SZ","002905","金逸影视","广东","影视音像","中小板","20171016"
"002906.SZ","002906","华阳集团","广东","汽车配件","中小板","20171013"
"002907.SZ","002907","华森制药","重庆","中成药","中小板","20171020"
"002908.SZ","002908","德生科技","广东","元器件","中小板","20171020"
"002909.SZ","002909","集泰股份","广东","化工原料","中小板","20171026"
"002910.SZ","002910","庄园牧场","甘肃","乳制品","中小板","20171031"
"002911.SZ","002911","佛燃能源","广东","供气供热","中小板","20171122"
"002912.SZ","002912","中新赛克","深圳","软件服务","中小板","20171121"
"002913.SZ","002913","奥士康","湖南","元器件","中小板","20171201"
"002915.SZ","002915","中欣氟材","浙江","化工原料","中小板","20171205"
"002916.SZ","002916","深南电路","深圳","元器件","中小板","20171213"
"002917.SZ","002917","金奥博","深圳","化工原料","中小板","20171208"
"002918.SZ","002918","蒙娜丽莎","广东","陶瓷","中小板","20171219"
"002919.SZ","002919","名臣健康","广东","日用化工","中小板","20171218"
"002920.SZ","002920","德赛西威","广东","汽车配件","中小板","20171226"
"002921.SZ","002921","联诚精密","山东","汽车配件","中小板","20171227"
"002922.SZ","002922","伊戈尔","广东","电气设备","中小板","20171229"
"002923.SZ","002923","润都股份","广东","化学制药","中小板","20180105"
"002925.SZ","002925","盈趣科技","福建","元器件","中小板","20180115"
"002926.SZ","002926","华西证券","四川","证券","中小板","20180205"
"002927.SZ","002927","泰永长征","贵州","电气设备","中小板","20180223"
"002928.SZ","002928","华夏航空","贵州","空运","中小板","20180302"
"002929.SZ","002929","润建股份","广西","通信设备","中小板","20180301"
"002930.SZ","002930","宏川智慧","广东","仓储物流","中小板","20180328"
"002931.SZ","002931","锋龙股份","浙江","机械基件","中小板","20180403"
"002932.SZ","002932","明德生物","湖北","医疗保健","中小板","20180710"
"002933.SZ","002933","新兴装备","北京","航空","中小板","20180828"
"002935.SZ","002935","天奥电子","四川","航空","中小板","20180903"
"002936.SZ","002936","郑州银行","河南","银行","中小板","20180919"
"002937.SZ","002937","兴瑞科技","浙江","元器件","中小板","20180926"
"002938.SZ","002938","鹏鼎控股","深圳","元器件","中小板","20180918"
"002939.SZ","002939","长城证券","深圳","证券","中小板","20181026"
"002940.SZ","002940","昂利康","浙江","化学制药","中小板","20181023"
"002941.SZ","002941","新疆交建","新疆","建筑工程","中小板","20181128"
"002942.SZ","002942","新农股份","浙江","农药化肥","中小板","20181205"
"002943.SZ","002943","宇晶股份","湖南","机床制造","中小板","20181129"
"002945.SZ","002945","华林证券","西藏","证券","中小板","20190117"
"002946.SZ","002946","新乳业","四川","乳制品","中小板","20190125"
"002947.SZ","002947","恒铭达","江苏","元器件","中小板","20190201"
"002948.SZ","002948","青岛银行","山东","银行","中小板","20190116"
"002949.SZ","002949","华阳国际","深圳","建筑工程","中小板","20190226"
"002950.SZ","002950","奥美医疗","湖北","医疗保健","中小板","20190311"
"002951.SZ","002951","金时科技","四川","广告包装","中小板","20190315"
"002952.SZ","002952","亚世光电","辽宁","元器件","中小板","20190328"
"002953.SZ","002953","日丰股份","广东","电气设备","中小板","20190509"
"002955.SZ","002955","鸿合科技","北京","IT设备","中小板","20190523"
"002956.SZ","002956","西麦食品","广西","食品","中小板","20190619"
"002957.SZ","002957","科瑞技术","深圳","专用机械","中小板","20190726"
"002958.SZ","002958","青农商行","山东","银行","中小板","20190326"
"002959.SZ","002959","小熊电器","广东","家用电器","中小板","20190823"
"002960.SZ","002960","青鸟消防","河北","专用机械","中小板","20190809"
"002961.SZ","002961","瑞达期货","福建","多元金融","中小板","20190905"
"002962.SZ","002962","五方光电","湖北","元器件","中小板","20190917"
"002963.SZ","002963","豪尔赛","北京","装修装饰","中小板","20191028"
"002965.SZ","002965","祥鑫科技","广东","汽车配件","中小板","20191025"
"002966.SZ","002966","苏州银行","江苏","银行","中小板","20190802"
"002967.SZ","002967","广电计量","广东","电器仪表","中小板","20191108"
"002968.SZ","002968","新大正","重庆","房产服务","中小板","20191203"
"002969.SZ","002969","嘉美包装","安徽","广告包装","中小板","20191202"
"002970.SZ","002970","锐明技术","深圳","通信设备","中小板","20191217"
"002971.SZ","002971","和远气体","湖北","化工原料","中小板","20200113"
"002972.SZ","002972","科安达","深圳","运输设备","中小板","20191227"
"002973.SZ","002973","侨银股份","广东","环境保护","中小板","20200106"
